example_idx,entity,true_type,pred_type,length,context
139,agro Reatino,GPE,LOC,2,"e nell ' agro Reatino , donde uscivano"
146,Repubblica,ORG,GPE,1,cavaliere amava la Repubblica tal quale l
150,Viminale,LOC,FAC,1,"Egli abitava sul Viminale , in un"
198,Venere,PER,GPE,1,"è sacro a Venere , e in"
251,Alessandria,GPE,PER,1,- lame di Alessandria ! — e
257,municipio,ORG,GPE,1,— Il municipio avrebbe dovuto proibire
267,vecchio Saturno,LOC,PER,2,"talvolta che il vecchio Saturno , o chi"
272,piazza de ' Bianchi,FAC,LOC,4,nome famoso di piazza de ' Bianchi .
276,Carignano,GPE,FAC,1,A levante vedeva Carignano ( fundus Carinianus
276,vasto colmo di Sarzano,GPE,LOC,4,"lato , il vasto colmo di Sarzano , che le"
277,clero ambrosiano,ORG,PER,2,V secolo al clero ambrosiano avea ristretti gli
278,Nostra Signora delle Vigne,FAC,PER,4,"Siro e di Nostra Signora delle Vigne , coi loro"
289,istitutrici forastiere,PER,ORG,2,tempi suoi le istitutrici forastiere e i monasteri
289,Terra Santa,LOC,FAC,2,"Diana era in Terra Santa , dove stava"
290,Terra Santa,LOC,FAC,2,credere che in Terra Santa ci fosse qualchedun
293,Faro,FAC,LOC,1,"dalla punta del Faro , e un"
317,Terra Santa,LOC,FAC,2,ha portato in Terra Santa il conte Goffredo
318,Mallona,PER,FAC,1,"a poggia della Mallona , è la"
342,Faraone,VEH,PER,1,"stato come il Faraone , costrutto ,"
343,Pomègue,LOC,GPE,1,"; ed oltrepassato Pomègue , procedeva col"
345,Faraone,VEH,PER,1,a dirigere il Faraone nella stretta entrata
346,bastimento,VEH,ORG,1,"' entrata del bastimento nel porto ,"
346,Faraone,VEH,FAC,1,"vogare avanti al Faraone , cui raggiunse"
372,suo camerino,FAC,PER,2,"che esce dal suo camerino , e che"
377,casa Morrel e Figlio,ORG,FAC,4,", come la casa Morrel e Figlio ."
382,naviglio,VEH,FAC,1,meno che il naviglio non avesse avuto
407,bastimento,VEH,FAC,1,e che il bastimento apparteneva alla casa
407,casa Morrel e figlio,ORG,FAC,4,bastimento apparteneva alla casa Morrel e figlio .
443,regno delle tenebre,GPE,LOC,3,il sole il regno delle tenebre .
449,Illisso,LOC,PER,1,"! L ' Illisso , il Cefiso"
449,Cefiso,LOC,PER,1,"Illisso , il Cefiso !"
451,Parnaso,LOC,GPE,1,virtù : dal Parnaso cantavano le Muse
451,odierne Muse,PER,ORG,2,non come le odierne Muse che sembrano una
464,scuola,ORG,FAC,1,"il martirio della scuola , attraverso un"
482,questa necropoli bianca dei grandi morti ellenici,GPE,FAC,7,spirituale riposo in questa necropoli bianca dei grandi morti ellenici .
484,questa necropoli di morti,GPE,FAC,4,io viaggio per questa necropoli di morti ; così imperturbabili
518,collegio d ' avvocati,ORG,FAC,4,"risuonato in un collegio d ' avvocati , nè al"
519,Scacchiere,FAC,PER,1,", nè allo Scacchiere , nè in"
521,Istituto Reale della Gran Brettagna,FAC,ORG,5,"nè dell ' Istituto Reale della Gran Brettagna , nè dell"
521,Istituto del Diritto,FAC,ORG,3,"nè dell ' Istituto del Diritto , nè di"
563,Gambalesta,PER,FAC,1,questo nome di Gambalesta .
683,collegio,ORG,FAC,1,"la mise in collegio , e ne"
